"TIME","Vout","Vent"
0.00795797503,-0.0498658,0.0646488
0.007958808363,-0.049452,0.0544374
0.007959641696,-0.0490381,0.0407289
0.00796047503,-0.0486199,0.0241446
0.007961308363,-0.0482017,0.00543148
0.007962141696,-0.0477835,-0.0145704
0.00796297503,-0.0473602,-0.0349647
0.007963808363,-0.0469368,-0.0548378
0.007964641696,-0.0465085,-0.0732989
0.00796547503,-0.0460802,-0.0895188
0.007966308363,-0.0456466,-0.102766
0.007967141696,-0.045213,-0.11244
0.00796797503,-0.0447742,-0.118096
0.007968808363,-0.0443354,-0.119462
0.007969641696,-0.0438912,-0.116459
0.00797047503,-0.0434469,-0.109193
0.007971308363,-0.0430026,-0.0979609
0.007972141696,-0.0425535,-0.0832305
0.00797297503,-0.0421044,-0.0656232
0.007973808363,-0.0416553,-0.0458859
0.007974641696,-0.0412062,-0.0248588
0.00797547503,-0.0407559,-0.00343813
0.007976308363,-0.0403055,0.0174624
0.007977141696,-0.0398552,0.0369519
0.00797797503,-0.0394049,0.0542013
0.007978808363,-0.0389545,0.0684794
0.007979641696,-0.0385042,0.0791847
0.00798047503,-0.0380547,0.085872
0.007981308363,-0.0376053,0.0882719
0.007982141696,-0.0371558,0.0863021
0.00798297503,-0.0367064,0.0800714
0.007983808363,-0.0362569,0.0698749
0.007984641696,-0.0358053,0.0561809
0.00798547503,-0.0353537,0.0396107
0.007986308363,-0.0349021,0.0209113
0.007987141696,-0.0344469,0.000922663
0.00798797503,-0.0339917,-0.0194588
0.007988808363,-0.0335325,-0.0393195
0.007989641696,-0.0330734,-0.0577686
0.00799047503,-0.0326098,-0.073977
0.007991308363,-0.0321462,-0.0872135
0.007992141696,-0.031678,-0.0968768
0.00799297503,-0.0312099,-0.102522
0.007993808363,-0.0307376,-0.103879
0.007994641696,-0.0302653,-0.100865
0.00799547503,-0.029789,-0.0935909
0.007996308363,-0.0293127,-0.0823502
0.007997141696,-0.0288365,-0.0676117
0.00799797503,-0.0283578,-0.0499967
0.007998808363,-0.0278792,-0.0302521
0.007999641696,-0.0274005,-0.00921812
0.00800047503,-0.0269219,0.0122089
0.008001308363,-0.0264432,0.0331154
0.008002141696,-0.0259646,0.0526105
0.00800297503,-0.0254877,0.069865
0.008003808363,-0.0250108,0.0841478
0.008004641696,-0.024534,0.0948574
0.00800547503,-0.0240592,0.101549
0.008006308363,-0.0235845,0.103952
0.008007141696,-0.0231098,0.101985
0.00800797503,-0.0226351,0.0957569
0.008008808363,-0.0221603,0.0855625
0.008009641696,-0.0216856,0.0718702
0.00801047503,-0.0212099,0.0553013
0.008011308363,-0.0207342,0.0366027
0.008012141696,-0.0202562,0.0166144
0.00801297503,-0.0197782,-0.00376703
0.008013808363,-0.0192971,-0.0236282
0.008014641696,-0.018816,-0.0420782
0.00801547503,-0.0183312,-0.058288
0.008016308363,-0.0178464,-0.0715262
0.008017141696,-0.0173578,-0.0811917
0.00801797503,-0.0168692,-0.0868391
0.008018808363,-0.0163772,-0.0881991
0.008019641696,-0.0158853,-0.0851893
0.00802047503,-0.0153908,-0.0779187
0.008021308363,-0.0148963,-0.0666824
0.008022141696,-0.0144002,-0.0519486
0.00802297503,-0.0139041,-0.0343388
0.008023808363,-0.0134081,-0.0145999
0.008024641696,-0.012912,0.00642806
0.00802547503,-0.0124167,0.0278486
0.008026308363,-0.0119214,0.0487482
0.008027141696,-0.0114278,0.068236
0.00802797503,-0.0109343,0.0854827
0.008028808363,-0.0104428,0.0997573
0.008029641696,-0.00995143,0.110458
0.00803047503,-0.00946211,0.11714
0.008031308363,-0.00897278,0.119534
0.008032141696,-0.00848504,0.117558
0.00803297503,-0.0079973,0.111319
0.008033808363,-0.00751022,0.101114
0.008034641696,-0.00702314,0.0874104
0.00803547503,-0.00653605,0.0708299
0.008036308363,-0.00604804,0.0521192
0.008037141696,-0.00556003,0.0321186
0.00803797503,-0.00507068,0.0117242
0.008038808363,-0.00458014,-0.00815026
0.008039641696,-0.00408825,-0.026614
0.00804047503,-0.0035949,-0.0428379
0.008041308363,-0.00310004,-0.0560908
0.008042141696,-0.00260369,-0.0657712
0.00804297503,-0.00210591,-0.0714341
0.008043808363,-0.00160683,-0.0728099
0.008044641696,-0.00110664,-0.0698164
0.00804547503,-0.000605565,-0.0625625
0.008046308363,-0.000103879,-0.0513433
0.008047141696,0.000398137,-0.0366271
0.00804797503,0.000900152,-0.0190352
0.008048808363,0.00140188,0.000685363
0.008049641696,0.00190302,0.0216945
0.00805047503,0.00240331,0.0430959
0.008051308363,0.0029025,0.0639758
0.008052141696,0.0034004,0.0834435
0.00805297503,0.00389689,0.10067
0.008053808363,0.00439188,0.114924
0.008054641696,0.00488535,0.125603
0.00805547503,0.00537736,0.132264
0.008056308363,0.00586799,0.134635
0.008057141696,0.00635692,0.132636
0.00805797503,0.00684584,0.126375
0.008058808363,0.00733305,0.116146
0.008059641696,0.00782026,0.102419
0.00806047503,0.00830747,0.0858142
0.008061308363,0.00879468,0.0670789
0.008062141696,0.00928189,0.0470532
0.00806297503,0.00977017,0.0266335
0.008063808363,0.0102584,0.00673318
0.008064641696,0.0107486,-0.0117568
0.00806547503,0.0112387,-0.0280074
0.008066308363,0.011731,-0.0412872
0.008067141696,0.0122233,-0.0509952
0.00806797503,0.0127176,-0.0566859
0.008068808363,0.013212,-0.05809
0.008069641696,0.0137078,-0.0551252
0.00807047503,0.0142037,-0.0479003
0.008071308363,0.0146995,-0.0367105
0.008072141696,0.0151954,-0.0220242
0.00807297503,0.0156912,-0.00446261
0.008073808363,0.0161857,0.0152273
0.008074641696,0.0166801,0.0362054
0.00807547503,0.0171721,0.0575752
0.008076308363,0.017664,0.0784233
0.008077141696,0.0181526,0.0978588
0.00807797503,0.0186412,0.115052
0.008078808363,0.019126,0.129273
0.008079641696,0.0196109,0.139919
0.00808047503,0.020092,0.146546
0.008081308363,0.0205731,0.148883
0.008082141696,0.021051,0.146849
0.00808297503,0.0215288,0.140553
0.008083808363,0.0220041,0.130289
0.008084641696,0.0224793,0.116526
0.00808547503,0.0229545,0.0998852
0.008086308363,0.0234288,0.0811134
0.008087141696,0.023903,0.0610508
0.00808797503,0.0243773,0.0405937
0.008088808363,0.0248516,0.0206557
0.008089641696,0.0253274,0.00212758
0.00809047503,0.0258033,-0.0141614
0.008091308363,0.0262791,-0.0274802
0.008092141696,0.0267573,-0.0372273
0.00809297503,0.0272355,-0.0429577
0.008093808363,0.0277136,-0.0444017
0.008094641696,0.0281918,-0.0414773
0.00809547503,0.02867,-0.0342932
0.008096308363,0.0291482,-0.0231445
0.008097141696,0.0296263,-0.00849965
0.00809797503,0.0301024,0.0090201
0.008098808363,0.0305784,0.0286678
0.008099641696,0.0310545,0.0496033
0.00810047503,0.0315266,0.0709302
0.008101308363,0.0319987,0.091735
0.008102141696,0.0324667,0.111127
0.00810297503,0.0329347,0.128276
0.008103808363,0.0333982,0.142453
0.008104641696,0.0338616,0.153054
0.00810547503,0.0343206,0.159635
0.008106308363,0.0347795,0.161927
0.008107141696,0.0352337,0.159848
0.00810797503,0.0356878,0.153505
0.008108808363,0.0361419,0.143195
0.008109641696,0.0365917,0.129385
0.00811047503,0.0370414,0.112696
0.008111308363,0.0374912,0.093877
0.008112141696,0.0379409,0.0737664
0.00811297503,0.0383907,0.053261
0.008113808363,0.0388402,0.0332744
0.008114641696,0.0392898,0.0146973
0.00811547503,0.0397394,-0.00164111
0.008116308363,0.040189,-0.0150096
0.008117141696,0.0406386,-0.0248067
0.00811797503,0.0410882,-0.0305875
0.008118808363,0.0415378,-0.0320822
0.008119641696,0.0419873,-0.0292089
0.00812047503,0.0424369,-0.0220761
0.008121308363,0.0428865,-0.0109792
0.008122141696,0.0433336,0.00361359
0.00812297503,0.0437808,0.0210809
0.008123808363,0.0442279,0.0406759
0.008124641696,0.0446698,0.0615583
0.00812547503,0.0451117,0.0828319
0.008126308363,0.0455535,0.103583
0.008127141696,0.0459895,0.122921
0.00812797503,0.0464254,0.140016
0.008128808363,0.0468561,0.154137
0.008129641696,0.0472867,0.164684
0.00813047503,0.0477121,0.17121
0.008131308363,0.0481375,0.173446
0.008132141696,0.0485572,0.171311
0.00813297503,0.0489769,0.164912
0.008133808363,0.0493966,0.154545
0.008134641696,0.0498108,0.140678
0.00813547503,0.0502251,0.123933
0.008136308363,0.0506394,0.105056
0.008137141696,0.0510536,0.0848872
0.00813797503,0.0514652,0.0643236
0.008138808363,0.0518768,0.0442786
0.008139641696,0.0522883,0.0256427
0.00814047503,0.0526999,0.00924535
